8.20	169.72	8.74
12.34	38.89	0.00
13.32	46.97	0.00
13.80	48.54	0.00
19.53	25.40	4.47
20.14	37.26	3.99
18.81	175.21	1.57
5.93	151.62	0.00
8.85	81.18	48.92
22.52	40.13	0.00
5.86	126.49	0.00
9.26	45.61	0.00
12.53	69.52	0.00
15.65	67.71	12.88
13.32	163.75	4.75
26.16	222.34	26.86
10.05	101.56	3.01
6.39	129.54	59.06
11.77	43.87	0.00
8.41	70.94	0.00
9.03	55.01	0.00
9.53	61.71	0.00
12.19	46.13	0.00
13.54	51.05	4.34
10.62	137.84	15.15
12.60	85.25	11.36
13.95	89.50	19.01
25.09	42.11	11.38
6.13	61.40	0.00
5.62	108.70	2.27
12.21	55.03	49.53
19.29	125.62	0.00
11.38	43.71	0.00
10.38	44.10	0.00
12.10	48.27	0.00
10.46	53.51	0.00
25.37	45.66	17.37
6.93	154.86	8.92
15.87	65.37	68.17
