0.00	0.00	5.40
31.57	25.10	0.00
12.78	46.90	4.80
16.52	72.58	6.38
19.95	33.86	4.25
13.93	36.66	0.76
11.23	41.07	1.43
9.75	43.07	5.56
14.54	92.19	17.03
10.17	151.60	4.25
8.11	157.64	7.80
10.17	102.60	16.55
12.08	95.40	7.44
21.37	90.83	14.27
16.24	32.92	0.00
8.86	60.53	0.00
10.44	56.74	0.00
13.08	38.73	4.25
11.23	25.24	16.33
6.07	135.67	11.84
21.86	55.70	11.84
8.50	75.40	0.00
7.10	116.70	71.40
14.69	144.90	21.43
20.64	170.30	24.56
16.00	51.18	0.43
18.18	37.74	1.70
12.08	49.02	6.44
21.71	38.33	9.35
